threshold,accuracy,precision,recall,f1
0.2,0.7012065294535131,0.46599131693198265,0.8609625668449198,0.6046948356807512
0.25,0.7331440738112136,0.49836065573770494,0.8128342245989305,0.6178861788617886
0.3,0.7487579843860894,0.518450184501845,0.7513368983957219,0.6135371179039302
0.35,0.765791341376863,0.5450819672131147,0.7112299465240641,0.617169373549884
0.4,0.7743080198722498,0.5636363636363636,0.6631016042780749,0.6093366093366094
0.45,0.78708303761533,0.5963541666666666,0.6122994652406417,0.604221635883905
0.5,0.8055358410220014,0.6572327044025157,0.5588235294117647,0.6040462427745664
0.55,0.7984386089425124,0.6730769230769231,0.4679144385026738,0.5520504731861199
0.6,0.7984386089425124,0.7163461538461539,0.3983957219251337,0.5120274914089347
0.65,0.7863733144073811,0.7417218543046358,0.2994652406417112,0.4266666666666667
0.7,0.7665010645848119,0.7472527472527473,0.18181818181818182,0.2924731182795699
0.75,0.7466288147622427,0.7297297297297297,0.07219251336898395,0.13138686131386862
0.8,0.7402413058907026,0.7857142857142857,0.029411764705882353,0.05670103092783505
