mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__class_weight,param_classifier__max_depth,param_classifier__min_samples_leaf,param_classifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.1054003238677979,0.2695488805732575,0.8443227767944336,0.31826147911921104,,,1,200,"{'classifier__class_weight': None, 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 200}",0.8150053317822693,0.8034430387927551,0.825961740422988,0.815092175205597,0.8415253586117367,0.8202055289630692,0.012820597651417293,48
2.806486940383911,0.2173411391022665,0.34441366195678713,0.13122267739947305,,,1,400,"{'classifier__class_weight': None, 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 400}",0.8167543179357925,0.8066279708529236,0.8258082497212932,0.8141934467548835,0.8419055052512809,0.8210578981032348,0.012091756359728836,47
1.609697198867798,0.24623883231280505,0.498214864730835,0.19445628399106019,,,2,200,"{'classifier__class_weight': None, 'classifier__max_depth': None, 'classifier__min_samples_leaf': 2, 'classifier__n_estimators': 200}",0.8298030471943516,0.8218154718627309,0.8365828930573733,0.8364213238976944,0.8529762650997077,0.8355198002223716,0.010268017903168048,40
2.2943737506866455,0.34421833298802224,0.3557881832122803,0.10456145534909762,,,2,400,"{'classifier__class_weight': None, 'classifier__max_depth': None, 'classifier__min_samples_leaf': 2, 'classifier__n_estimators': 400}",0.8311561889066614,0.823960302457467,0.8374775822790946,0.83594065564765,0.8546990573172162,0.8366467573216179,0.01018004777350755,39
1.8712846755981445,0.19628233596052663,0.22137012481689453,0.056419822753540926,,,4,200,"{'classifier__class_weight': None, 'classifier__max_depth': None, 'classifier__min_samples_leaf': 4, 'classifier__n_estimators': 200}",0.8397678251175414,0.8289325933465821,0.8425872069539366,0.8463194545425168,0.8602192718169797,0.8435652703555114,0.01014331040651982,26
2.3011951446533203,0.21281144006874897,0.3323826789855957,0.14189198012264762,,,4,400,"{'classifier__class_weight': None, 'classifier__max_depth': None, 'classifier__min_samples_leaf': 4, 'classifier__n_estimators': 400}",0.8395133536910475,0.8299141259916306,0.8437383872166481,0.8467577108881457,0.859911919214795,0.8439670994004536,0.00979182325333964,20
1.5384457588195801,0.25980051969177353,0.2668018341064453,0.07926317228177636,,6,1,200,"{'classifier__class_weight': None, 'classifier__max_depth': 6, 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 200}",0.8422842647795388,0.8345350039584444,0.842835619536943,0.8606566978495145,0.8577220319242296,0.847606723609734,0.00994568395506991,1
2.025420570373535,0.21150370262390236,0.3796524524688721,0.12652266846545587,,6,1,400,"{'classifier__class_weight': None, 'classifier__max_depth': 6, 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 400}",0.841872263422358,0.8343895917147335,0.8419490087732054,0.8608041297077215,0.8581102667901469,0.847425052081633,0.010236378956245205,4
1.383427667617798,0.2711120000050931,0.29993429183959963,0.09091315222447688,,6,2,200,"{'classifier__class_weight': None, 'classifier__max_depth': 6, 'classifier__min_samples_leaf': 2, 'classifier__n_estimators': 200}",0.842286284394035,0.8345148078134845,0.8434798765611621,0.8600790881036627,0.8568747902116285,0.8474469694167948,0.009571473521063504,3
2.0174450397491457,0.28243528091747433,0.325822639465332,0.06186379627384226,,6,2,400,"{'classifier__class_weight': None, 'classifier__max_depth': 6, 'classifier__min_samples_leaf': 2, 'classifier__n_estimators': 400}",0.841621831224856,0.8342764933029583,0.8425407558205289,0.8605173444492916,0.8579464802060881,0.8473805810007444,0.010124396288847856,5
