mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__class_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.24578986167907715,0.016680163242247477,0.04214634895324707,0.00556122253552027,0.01,,"{'classifier__C': 0.01, 'classifier__class_weight': None}",0.8438312894834633,0.8264403890585366,0.839695118995686,0.8602123826603978,0.8471729626768794,0.8434704285749927,0.010939901410162435,10
0.37186617851257325,0.15047746868466974,0.06394419670104981,0.018567273848140872,0.01,balanced,"{'classifier__C': 0.01, 'classifier__class_weight': 'balanced'}",0.844025172475078,0.8265575266993037,0.8403333171764173,0.8605476386667313,0.8480586234647536,0.8439044556964568,0.01102666039861039,9
0.24827966690063477,0.06846381325114195,0.040708494186401364,0.0075266360555354735,0.1,,"{'classifier__C': 0.1, 'classifier__class_weight': None}",0.8467880051055854,0.8256325432601423,0.8416622235147756,0.8619088588370252,0.8513181786931854,0.8454619618821427,0.011951551698084022,8
0.2308931827545166,0.013798276804986019,0.044872093200683597,0.0045105909311676596,0.1,balanced,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced'}",0.8463881214353803,0.8258062301067971,0.8417228119496551,0.861803838883234,0.851670016540423,0.8454782037830979,0.01188934289960773,7
0.21176481246948242,0.013624855587326143,0.04342265129089355,0.0026741496051751502,1.0,,"{'classifier__C': 1.0, 'classifier__class_weight': None}",0.8478664792464414,0.825163992697074,0.8418722634223579,0.8628661561081221,0.852915603401908,0.8461368989751807,0.012544801632456264,5
0.19559507369995116,0.01835084268451989,0.04656848907470703,0.002926256786872978,1.0,balanced,"{'classifier__C': 1.0, 'classifier__class_weight': 'balanced'}",0.8470828688219992,0.8254830917874396,0.8415773997059441,0.8625955277656602,0.8530086180052008,0.8459495012172488,0.012378974419374121,6
0.2207098960876465,0.020360194122871492,0.04411020278930664,0.004979106198933006,10.0,,"{'classifier__C': 10.0, 'classifier__class_weight': None}",0.8485450697170923,0.8253255618567528,0.8411532806617874,0.8633831774190943,0.8531986913249727,0.84632115619594,0.012734840149858305,1
0.22825188636779786,0.01702090733895376,0.06213693618774414,0.016933367709799533,10.0,balanced,"{'classifier__C': 10.0, 'classifier__class_weight': 'balanced'}",0.8479432245972889,0.8255194448483674,0.840923044609245,0.863427608938006,0.8532350883436526,0.846209682267312,0.012687418654436273,3
0.27460269927978515,0.013888988936537235,0.04974732398986816,0.010471852733590737,100.0,,"{'classifier__C': 100.0, 'classifier__class_weight': None}",0.8487591488536668,0.8251761103840499,0.8408139854264618,0.8636376488455884,0.8530773679293735,0.8462928522878282,0.012875472881308032,2
0.2461245536804199,0.03072057616909513,0.03536381721496582,0.003097524661280895,100.0,balanced,"{'classifier__C': 100.0, 'classifier__class_weight': 'balanced'}",0.8480320876351124,0.8253942287496162,0.8404908471071043,0.8637184334254278,0.8532229560040926,0.8461717105842708,0.012845579071741692,4
